Genus,Species,Var,TreeName,In2010MS,n,MinElevation,MaxElevation,MidElevation
Aneides,aeneus,,Aneides_aeneus,0,NA,NA,NA,636.5
Aneides,hardii,,Aneides_hardii,0,NA,NA,NA,1287
Desmognathus,aeneus,,D._aeneus_KHK51,1,7,473,1505,989
Desmognathus,apalachicolae,,D._apalachicolae_KHK157,1,8,18,171,94.5
Desmognathus,brimleyorum,,D._brimleyorum,1,13,289,711,500
Desmognathus,carolinensis,,D._carolinensis_KHK103,1,19,469,1822,1145.5
Desmognathus,conanti,A,D._conanti_A_8399,1,3,46,234,140
Desmognathus,conanti,"B,C,D",D._conanti_D_KHK227,1,57,2,1791,896.5
Desmognathus,folkertsi,,D._folkertsi_KHK340,1,9,549,1032,790.5
Desmognathus,fuscus,A,D._fuscus_A_RMB513,1,4,229,442,335.5
Desmognathus,fuscus,B,D._fuscus_B_KHK570,1,90,4,1430,717
Desmognathus,imitator,,D._imitator_KHK05,1,26,567,1765,1166
Desmognathus,monticola,A,D._monticola_A,1,4,73,473,273
Desmognathus,monticola,B,D._monticola_B,1,103,234,1563,898.5
Desmognathus,ochrophaeus,,D._ochrophaeus_WKS05,1,36,121,1251,686
Desmognathus,ocoee,A,D._ocoee_A_KHK01,1,7,899,1633,1266
Desmognathus,ocoee,B,D._ocoee_B_KHK62,1,11,852,1673,1262.5
Desmognathus,ocoee,C,D._ocoee_C_KHK56,1,23,587,1563,1075
Desmognathus,ocoee,D,D._ocoee_D_KHK53,1,7,396,775,585.5
Desmognathus,ocoee,E,D._ocoee_E_KHK31,1,2,1141,1266,1203.5
Desmognathus,ocoee,F,D._ocoee_F_KHK22,1,4,1021,1282,1151.5
Desmognathus,ocoee,"G,H",D._ocoee_G_RMB268,1,6,218,576,397
Desmognathus,orestes,,D._orestes_KHK129,1,42,714,1701,1207.5
Desmognathus,quad,"A,B",D._quad_A_KHK52,1,118,352,1577,964.5
Desmognathus,quad,"C,D,E",D._quad_D_KHK499,1,102,330,1659,994.5
Desmognathus,santeetlah,,D._santeetlah_11775,1,9,567,1673,1120
Desmognathus,welteri,,D._welteri_KHK414,1,6,257,1133,695
Desmognathus,wrighti,A,D._wrighti_KHK310,1,18,1073,1791,1432
Desmognathus,wrighti,B,D._wrighti_KHK73,1,20,1085,1822,1453.5
Desmognathus,abditus,,Desmognathus_abditus,1,4,405,599,502
Eurycea,aquatica,,E._aquatica_61299,1,2,141,178,159.5
Eurycea,bislineata,,E._bislineata_A,1,226,2,1834,918
Eurycea,cirrigera,C,E._cirrigera_C_KHK245,1,10,172,356,264
Eurycea,cirrigera,D,E._cirrigera_D_KHK419,1,28,165,381,273
Eurycea,cirrigera,L,E._cirrigera_L_KHK174,1,38,16,919,467.5
Eurycea,guttolineata,,E._gutt_NC_KHK330,1,38,19,1265,642
Eurycea,junaluska,,E._junaluska_KHK8.280,1,5,382,790,586
Eurycea,longicauda,,E._longicauda_KY_KHK388,1,59,16,1265,640.5
Eurycea,lucifuga,,E._lucifuga_TN_KHK698,1,33,132,678,405
Eurycea,multiplicata,,E._multiplicata_CEA,0,NA,NA,NA,445
Eurycea,quadridigitata,,E._quad_MS_KHK192,1,26,2,204,101
Eurycea,tonkawae,,E._tonkawae_NEW,0,NA,NA,NA,640.5
Eurycea,cirrigera-wilderae,E,E._wild_cirr_E_KHK71203,1,106,5,1743,874
Eurycea,cirrigera-wilderae,J,E._wild_cirr_J_KHK8.234,1,22,8,1782,895
Eurycea,wilderae,M,E._wilderae_M_KHK8.95,1,65,246,1673,959.5
Ensatina,sp.,,EnsatinaTWR569_CEA,0,NA,NA,NA,1367.5
Gyrinophilus,porphyriticus,,G._porph_danielsi_ABS010,1,356,41,1791,916
Hemidactylium,scutatum,,Hemidactylium20001,1,159,1,1119,560
Hydromantes,shastae,,Hydromantes_shastae,0,NA,NA,NA,1114
Plethodon,albagula,,P_albagula,0,NA,NA,NA,418
Plethodon,amplus,,P_amplus,1,8,490,1141,815.5
Plethodon,angusticlavius,,P_angusticlavius,0,NA,NA,NA,356.5
Plethodon,aureolus,,P_aureolus,1,48,247,1533,890
Plethodon,caddoensis,,P_caddoensis,0,NA,NA,NA,605
Plethodon,chattahoochee,,P_chattahoochee,1,53,422,1235,828.5
Plethodon,cheoah,,P_cheoah,1,17,796,1349,1072.5
Plethodon,chlorobryonis,,P_chlorobryonis,1,111,0,1201,600.5
Plethodon,cinereus,,P_cinereus,1,2170,0,1429,714.5
Plethodon,cylindraceus,,P_cylindraceus,1,540,1,1488,744.5
Plethodon,dorsalis,,P_dorsalis,1,17,112,343,227.5
Plethodon,electromorphus,,P_electromorphus,1,54,147,738,442.5
Plethodon,elongatus,,P_elongatus,0,NA,NA,NA,959
Plethodon,glutinosus,,P_glutinosus,1,1077,74,1402,738
Plethodon,grobmani,,P_grobmani,1,15,15,158,86.5
Plethodon,hoffmani,,P_hoffmani,1,205,150,1253,701.5
Plethodon,hubrichti,,P_hubrichti,1,18,633,1012,822.5
Plethodon,jordani,,P_jordani,1,374,820,1864,1342
Plethodon,kentucki,,P_kentucki,1,9,178,1173,675.5
Plethodon,kiamichi,,P_kiamichi,0,NA,NA,NA,620
Plethodon,kisatchie,,P_kisatchie,0,NA,NA,NA,38.5
Plethodon,meridianus,,P_meridianus,1,9,549,821,685
Plethodon,metcalfi,,P_metcalfi,1,289,249,1667,958
Plethodon,mississippi,,P_mississippi,1,39,9,256,132.5
Plethodon,montanus,,P_montanus,1,152,864,1676,1270
Plethodon,nettingi,,P_nettingi,1,26,853,1407,1130
Plethodon,ocmulgee,,P_ocmulgee,1,7,17,137,77
Plethodon,petraeus,,P_petraeus,1,5,222,598,410
Plethodon,punctatus,,P_punctatus,1,32,705,1157,931
Plethodon,richmondi,,P_richmondi,1,147,164,1384,774
Plethodon,savannah,,P_savannah,1,1,108,108,108
Plethodon,sequoyah,,P_sequoyah,0,NA,NA,NA,188
Plethodon,serratus,,P_serratus,1,386,64,1596,830
Plethodon,shenandoah,,P_shenandoah,1,24,722,1057,889.5
Plethodon,shermani,,P_shermani,1,86,681,1625,1153
Plethodon,teyahalee,,P_teyahalee,1,888,208,1635,921.5
Plethodon,variolatus,,P_variolatus,1,22,4,57,30.5
Plethodon,ventralis,,P_ventralis,1,45,123,1316,719.5
Plethodon,virginia,,P_virginia,1,52,267,1102,684.5
Plethodon,websteri,,P_websteri,1,18,74,384,229
Plethodon,wehrlei,,P_wehrlei,1,94,192,1407,799.5
Plethodon,welleri,,P_welleri,1,13,726,1676,1201
Plethodon,yonahlossee,,P_yonahlossee,1,75,490,1557,1023.5
Pseudotriton,montanus,,P._m._diastictus_KY_71757,1,29,15,1261,638
Pseudotriton,ruber,,P._ruber_VA_KHK585,1,297,14,1440,727
Phaeognathus,hubrichti,,Phaeognathus_hubritchti,1,3,76,136,106
Psedoeurychea,rex,,Pseudoeurycea_rex_CEA,0,NA,NA,NA,1007
Stereochilus,marginatus,,S._marginatus_CEA,1,7,4,73,38.5
