species	elevmdpt	bio2	bio5	bio17
Phaeognathus_hubritchti	106	13.92	33.09	278.6
D._wrighti_KHK73	1432	10.68	22.63	338.15
D._wrighti_KHK310	1453.5	11.2	23.14	453.78
D._aeneus_KHK51	989	13	27.21	384.57
D._quad_D_KHK499	994.5	12.29	25.98	302.3
D._folkertsi_KHK340	790.5	12.93	27.36	386.33
D._quad_A_KHK52	964.5	12.77	26.72	410.69
D._imitator_KHK05	1166	11.88	24.25	397.62
D._ocoee_A_KHK01	1266	11.71	23.89	403.57
D._ocoee_B_KHK62	1262.5	12.03	25	423.09
D._ocoee_D_KHK53	585.5	13.33	29.06	378.71
D._ocoee_C_KHK56	1075	12.41	25.78	454.91
D._orestes_KHK129	1207.5	11.8	24.9	304.56
D._ochrophaeus_WKS05	686	11.76	26.24	240.11
D._welteri_KHK414	695	12.54	27.85	273.67
D._fuscus_B_KHK570	717	12.17	28.19	238.88
D._fuscus_A_RMB513	335	13.07	30.58	276.5
D._apalachicolae_KHK157	94.5	12.84	32.7	249.13
D._monticola_A	273	13.77	32.5	281.75
D._monticola_B	898.5	12.47	26.5	345.05
D._ocoee_E_KHK31	1203.5	12.45	25.35	412.5
D._ocoee_F_KHK22	1151.5	12.44	25.5	391
D._brimleyorum	500	12.91	32.17	274.38
D._carolinensis_KHK103	1145.5	12.44	26.01	313.37
D._conanti_A_8399	140	13.6	32.77	251.33
D._santeetlah_11775	1120	11.75	24.11	411.38
D._conanti_D_KHK227	896.5	13.05	31.49	283.05
