species	elevmdpt	bio2	bio5	bio17
P_serratus	830	12.76	27	351.55
P_hoffmani	701.5	12.39	28	213.82
P_virginia	684.5	12.37	26.36	212.21
P_cinereus	714.5	11.65	28.05	234.45
P_shenandoah	889.5	10.82	24.83	243.29
P_electromorphus	442.5	12.85	29.09	230.04
P_richmondi	774	12.4	26.88	261.55
P_nettingi	1130	11.28	23.48	319.54
P_hubrichti	822.5	11.94	26.92	255.33
P_websteri	229	13.24	32.31	263
P_wehrlei	799.5	12.52	26.92	252.3
P_punctatus	931	11.9	25.3	232.47
P_welleri	1201	11.68	24.42	305.77
P_ventralis	719.5	13.43	30.23	280.16
P_dorsalis	227.5	12.52	31.25	253.53
P_yonahlossee	1023.5	12.13	25.39	296.52
P_kentucki	675.5	12.36	27.3	266.56
P_petraeus	410	13.12	30.58	299.8
P_metcalfi	958	12.46	25.75	415.39
P_jordani	1342	12.01	24.38	390.04
P_montanus	1270	11.94	24.94	304.31
P_amplus	815.5	12.98	27.58	322.38
P_meridianus	685	12.7	28.5	318.67
P_shermani	1153	12.44	25.51	410.13
P_chattahoochee	828.5	13.17	27.93	374.28
P_cheoah	1072.5	12.6	25.44	395.35
P_chlorobryonis	600.5	12.42	30.8	280.29
P_variolatus	30.5	12.11	32.83	214.36
P_teyahalee	921.5	12.9	26.31	364.02
P_cylindraceus	744.5	12.54	27.8	247.71
P_aureolus	890	12.87	27.49	348.19
P_glutinosus	738	12.39	27.66	246.35
P_mississippi	132.5	13.03	32.78	279.59
P_grobmani	86.5	12.93	32.88	241.93
P_savannah	108	13.84	32.9	226
P_ocmulgee	77	13.25	33.34	207.57
