elevmdpt	bio2	bio5	bio17	node	species	ancestor	time	OU	OU.mid	OU.low	OU.high	OU.rand	OU.4	OU.9
NA	NA	NA	NA	1	NA	NA	0	ns	mid	low	high	a	anc	anc
106	13.92	33.09	278.6	2	Phaeognathus_hubritchti	1	36.905759	ns	low	low	low	low	low	100
NA	NA	NA	NA	3	NA	1	8.941517	ns	mid	low	high	b	anc	anc
NA	NA	NA	NA	4	NA	3	29.690524	ns	mid	low	high	c	anc	anc
1432	10.68	22.63	338.15	5	D._wrighti_KHK73	4	36.905759	ns	high	high	high	high	high	1500
1453.5	11.2	23.14	453.78	6	D._wrighti_KHK310	4	36.905759	ns	high	high	high	high	high	1500
NA	NA	NA	NA	7	NA	3	17.019231	ns	mid	low	high	d	anc	anc
989	13	27.21	384.57	8	D._aeneus_KHK51	7	36.905759	ns	mid	mid	mid	mid	mid	900
NA	NA	NA	NA	9	NA	7	18.693468	ns	mid	low	high	e	anc	anc
NA	NA	NA	NA	10	NA	9	20.707031	ns	mid	low	high	f	anc	anc
994.5	12.29	25.98	302.3	11	D._quad_D_KHK499	10	36.905758	ns	mid	mid	mid	mid	mid	900
NA	NA	NA	NA	12	NA	10	24.134881	ns	mid	low	high	g	anc	anc
790.5	12.93	27.36	386.33	13	D._folkertsi_KHK340	12	36.905758	ns	mid	mid	mid	mid	mid	700
964.5	12.77	26.72	410.69	14	D._quad_A_KHK52	12	36.905758	ns	mid	mid	mid	mid	mid	900
NA	NA	NA	NA	15	NA	9	21.316433	ns	mid	low	high	h	anc	anc
1166	11.88	24.25	397.62	16	D._imitator_KHK05	15	36.905759	ns	high	high	high	high	high	1100
NA	NA	NA	NA	17	NA	15	22.651135	ns	mid	low	high	I	anc	anc
NA	NA	NA	NA	18	NA	17	24.961258	ns	mid	low	high	j	anc	anc
1266	11.71	23.89	403.57	19	D._ocoee_A_KHK01	18	36.905759	ns	high	high	high	high	high	1300
NA	NA	NA	NA	20	NA	18	26.23459	ns	mid	low	high	k	anc	anc
1262.5	12.03	25	423.09	21	D._ocoee_B_KHK62	20	36.905759	ns	mid	low	high	high	high	1300
NA	NA	NA	NA	22	NA	20	30.634468	ns	high	high	high	l	anc	anc
585.5	13.33	29.06	378.71	23	D._ocoee_D_KHK53	22	36.905759	ns	mid	low	high	high	high	500
1075	12.41	25.78	454.91	24	D._ocoee_C_KHK56	22	36.905759	ns	mid	mid	mid	mid	mid	1100
NA	NA	NA	NA	25	NA	17	23.940745	ns	high	high	high	m	anc	anc
NA	NA	NA	NA	26	NA	25	26.597231	ns	mid	low	high	n	anc	anc
NA	NA	NA	NA	27	NA	26	33.072938	ns	mid	low	high	o	anc	anc
1207.5	11.8	24.9	304.56	28	D._orestes_KHK129	27	36.905759	ns	high	high	high	high	high	1300
686	11.76	26.24	240.11	29	D._ochrophaeus_WKS05	27	36.905759	ns	mid	mid	mid	mid	mid	700
NA	NA	NA	NA	30	NA	26	28.139704	ns	mid	low	high	p	anc	anc
695	12.54	27.85	273.67	31	D._welteri_KHK414	30	36.905759	ns	mid	low	high	high	high	700
NA	NA	NA	NA	32	NA	30	30.984535	ns	mid	low	high	q	anc	anc
717	12.17	28.19	238.88	33	D._fuscus_B_KHK570	32	36.905759	ns	mid	mid	mid	mid	mid	700
335	13.07	30.58	276.5	34	D._fuscus_A_RMB513	32	36.905759	ns	low	low	low	low	low	300
NA	NA	NA	NA	35	NA	25	25.628844	ns	mid	low	high	r	anc	anc
NA	NA	NA	NA	36	NA	35	28.24553	ns	mid	low	high	s	anc	anc
94.5	12.84	32.7	249.13	37	D._apalachicolae_KHK157	36	36.905759	ns	low	low	low	low	low	100
NA	NA	NA	NA	38	NA	36	29.201926	ns	mid	low	high	high	high	anc
NA	NA	NA	NA	39	NA	38	34.812676	ns	mid	low	high	t	anc	anc
273	13.77	32.5	281.75	40	D._monticola_A	39	36.905759	ns	low	low	low	u	anc	300
898.5	12.47	26.5	345.05	41	D._monticola_B	39	36.905759	ns	high	high	high	high	high	900
NA	NA	NA	NA	42	NA	38	29.729684	ns	mid	low	high	v	anc	anc
1203.5	12.45	25.35	412.5	43	D._ocoee_E_KHK31	42	36.90576	ns	mid	low	high	high	high	1300
NA	NA	NA	NA	44	NA	42	31.198083	ns	mid	low	high	w	anc	anc
1151.5	12.44	25.5	391	45	D._ocoee_F_KHK22	44	36.90576	ns	high	high	high	high	high	1100
500	12.91	32.17	274.38	46	D._ocoee_G_RMB268	44	36.90576	ns	mid	mid	mid	mid	mid	500
NA	NA	NA	NA	47	NA	35	26.982289	ns	mid	low	high	x	anc	anc
1145.5	12.44	26.01	313.37	48	D._carolinensis_KHK103	47	36.905759	ns	high	high	high	high	high	1100
NA	NA	NA	NA	49	NA	47	31.162364	ns	mid	low	high	y	anc	anc
140	13.6	32.77	251.33	50	D._conanti_A_8399	49	36.905759	ns	low	low	low	low	low	100
NA	NA	NA	NA	51	NA	49	31.79421	ns	mid	low	high	high	high	anc
1120	11.75	24.11	411.38	52	D._santeetlah_11775	51	36.905759	ns	high	high	high	z	anc	1100
896.5	13.05	31.49	283.05	53	D._conanti_D_KHK227	51	36.90576	ns	mid	mid	mid	mid	mid	900
