"Hemidactylium20001","Pseudoeurycea_rex_CEA","S._marginatus_CEA","G._porph_danielsi_ABS010","P._m._diastictus_KY_71757","P._ruber_VA_KHK585","E._multiplicata_CEA","E._quad_MS_KHK192","E._tonkawae_NEW","E._lucifuga_TN_KHK698","E._longicauda_KY_KHK388","E._gutt_NC_KHK330","E._wild_cirr_E_KHK71203","E._cirrigera_D_KHK419","E._bislineata_A","E._cirrigera_C_KHK245","E._aquatica_61299","E._junaluska_KHK8.280","E._wild_cirr_J_KHK8.234","E._cirrigera_L_KHK174","E._wilderae_M_KHK8.95","P_elongatus","P_serratus","P_hoffmani","P_virginia","P_cinereus","P_shenandoah","P_electromorphus","P_richmondi","P_nettingi","P_hubrichti","P_websteri","P_wehrlei","P_punctatus","P_welleri","P_angusticlavius","P_ventralis","P_dorsalis","P_yonahlossee","P_kentucki","P_petraeus","P_metcalfi","P_jordani","P_caddoensis","P_montanus","P_amplus","P_meridianus","P_shermani","P_chattahoochee","P_cheoah","P_chlorobryonis","P_variolatus","P_teyahalee","P_cylindraceus","P_aureolus","P_glutinosus","P_mississippi","P_kiamichi","P_sequoyah","P_albagula","P_grobmani","P_kisatchie","P_savannah","P_ocmulgee","Hydromantes_shastae","EnsatinaTWR569_CEA","Aneides_aeneus","Aneides_hardii","Phaeognathus_hubritchti","D._wrighti_KHK73","D._wrighti_KHK310","D._aeneus_KHK51","D._quad_D_KHK499","D._folkertsi_KHK340","D._quad_A_KHK52","D._imitator_KHK05","D._ocoee_A_KHK01","D._ocoee_B_KHK62","D._ocoee_D_KHK53","D._ocoee_C_KHK56","D._orestes_KHK129","D._ochrophaeus_WKS05","D._welteri_KHK414","D._fuscus_B_KHK570","D._fuscus_A_RMB513","D._apalachicolae_KHK157","D._monticola_A","D._monticola_B","D._ocoee_E_KHK31","D._ocoee_F_KHK22","D._ocoee_G_RMB268","D._brimleyorum","D._carolinensis_KHK103","D._conanti_A_8399","D._santeetlah_11775","D._conanti_D_KHK227"
0,111.895634,111.895634,111.895634,111.895634,111.895634,111.895634,111.895634,111.895634,111.895634,111.895634,111.895634,111.895634,111.895634,111.895634,111.895634,111.895634,111.895634,111.895634,111.895633,111.895633,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000001,122.000001,122.000001,122.000002,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000002,122.000002,122.000003,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000004,122.000004,122.000004,122,121.999999,121.999999,121.999999,122,122,122,122,121.999999,121.999999,121.999999,122,122,122,122,122,122,122,122,122,122,122,122,122,122.000001,122.000001,122.000001,122,122,122,122,122.000001
111.895634,0,99.292924,99.292924,99.292924,99.292924,99.292924,99.292924,99.292924,99.292924,99.292924,99.292924,99.292924,99.292924,99.292924,99.292924,99.292924,99.292924,99.292924,99.292923,99.292923,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000001,122.000001,122.000001,122.000002,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000002,122.000002,122.000003,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000004,122.000004,122.000004,122,121.999999,121.999999,121.999999,122,122,122,122,121.999999,121.999999,121.999999,122,122,122,122,122,122,122,122,122,122,122,122,122,122.000001,122.000001,122.000001,122,122,122,122,122.000001
111.895634,99.292924,0,41.423326,46.636124,46.636124,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140531,75.140531,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000001,122.000001,122.000001,122.000002,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000002,122.000002,122.000003,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000004,122.000004,122.000004,122,121.999999,121.999999,121.999999,122,122,122,122,121.999999,121.999999,121.999999,122,122,122,122,122,122,122,122,122,122,122,122,122,122.000001,122.000001,122.000001,122,122,122,122,122.000001
111.895634,99.292924,41.423326,0,46.636124,46.636124,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140531,75.140531,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000001,122.000001,122.000001,122.000002,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000002,122.000002,122.000003,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000004,122.000004,122.000004,122,121.999999,121.999999,121.999999,122,122,122,122,121.999999,121.999999,121.999999,122,122,122,122,122,122,122,122,122,122,122,122,122,122.000001,122.000001,122.000001,122,122,122,122,122.000001
111.895634,99.292924,46.636124,46.636124,0,41.932148,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140531,75.140531,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000001,122.000001,122.000001,122.000002,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000002,122.000002,122.000003,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000004,122.000004,122.000004,122,121.999999,121.999999,121.999999,122,122,122,122,121.999999,121.999999,121.999999,122,122,122,122,122,122,122,122,122,122,122,122,122,122.000001,122.000001,122.000001,122,122,122,122,122.000001
111.895634,99.292924,46.636124,46.636124,41.932148,0,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140532,75.140531,75.140531,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000001,122.000001,122.000001,122.000002,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000002,122.000002,122.000003,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000004,122.000004,122.000004,122,121.999999,121.999999,121.999999,122,122,122,122,121.999999,121.999999,121.999999,122,122,122,122,122,122,122,122,122,122,122,122,122,122.000001,122.000001,122.000001,122,122,122,122,122.000001
111.895634,99.292924,75.140532,75.140532,75.140532,75.140532,0,45.167018,45.167018,45.167018,45.167018,45.167018,45.167018,45.167018,45.167018,45.167018,45.167018,45.167018,45.167018,45.167017,45.167017,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000001,122.000001,122.000001,122.000002,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000002,122.000002,122.000003,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000004,122.000004,122.000004,122,121.999999,121.999999,121.999999,122,122,122,122,121.999999,121.999999,121.999999,122,122,122,122,122,122,122,122,122,122,122,122,122,122.000001,122.000001,122.000001,122,122,122,122,122.000001
111.895634,99.292924,75.140532,75.140532,75.140532,75.140532,45.167018,0,31.024628,39.61364,39.61364,39.61364,39.61364,39.61364,39.61364,39.61364,39.61364,39.61364,39.61364,39.613639,39.613639,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000001,122.000001,122.000001,122.000002,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000002,122.000002,122.000003,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000004,122.000004,122.000004,122,121.999999,121.999999,121.999999,122,122,122,122,121.999999,121.999999,121.999999,122,122,122,122,122,122,122,122,122,122,122,122,122,122.000001,122.000001,122.000001,122,122,122,122,122.000001
111.895634,99.292924,75.140532,75.140532,75.140532,75.140532,45.167018,31.024628,0,39.61364,39.61364,39.61364,39.61364,39.61364,39.61364,39.61364,39.61364,39.61364,39.61364,39.613639,39.613639,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000001,122.000001,122.000001,122.000002,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000002,122.000002,122.000003,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000004,122.000004,122.000004,122,121.999999,121.999999,121.999999,122,122,122,122,121.999999,121.999999,121.999999,122,122,122,122,122,122,122,122,122,122,122,122,122,122.000001,122.000001,122.000001,122,122,122,122,122.000001
111.895634,99.292924,75.140532,75.140532,75.140532,75.140532,45.167018,39.61364,39.61364,0,18.927886,18.927886,35.834476,35.834476,35.834476,35.834476,35.834476,35.834476,35.834476,35.834475,35.834475,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000001,122.000001,122.000001,122.000002,122.000001,122.000001,122.000001,122.000001,122.000002,122.000002,122.000002,122.000002,122.000003,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000002,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000003,122.000004,122.000004,122.000004,122,121.999999,121.999999,121.999999,122,122,122,122,121.999999,121.999999,121.999999,122,122,122,122,122,122,122,122,122,122,122,122,122,122.000001,122.000001,122.000001,122,122,122,122,122.000001
