elevmdpt	bio2	bio5	bio17	node	species	ancestor	time	OU	OU.mid	OU.low	OU.high
NA	NA	NA	NA	1	NA	NA	0	ns	mid	low	high
NA	NA	NA	NA	2	NA	1	9.082967	ns	mid	low	high
830	12.76	27	351.55	3	P_serratus	2	27.089525	ns	mid	low	high
NA	NA	NA	NA	4	NA	2	15.20619	ns	mid	low	high
NA	NA	NA	NA	5	NA	4	22.16018	ns	mid	low	high
701.5	12.39	28	213.82	6	P_hoffmani	5	27.089525	ns	mid	low	high
684.5	12.37	26.36	212.21	7	P_virginia	5	27.089525	ns	mid	low	high
NA	NA	NA	NA	8	NA	4	16.064779	ns	mid	low	high
NA	NA	NA	NA	9	NA	8	19.959626	ns	mid	low	high
714.5	11.65	28.05	234.45	10	P_cinereus	9	27.089525	ns	mid	low	high
889.5	10.82	24.83	243.29	11	P_shenandoah	9	27.089525	ns	mid	low	high
NA	NA	NA	NA	12	NA	8	19.603516	ns	mid	low	high
NA	NA	NA	NA	13	NA	12	21.916538	ns	mid	low	high
442.5	12.85	29.09	230.04	14	P_electromorphus	13	27.089525	ns	low	low	low
774	12.4	26.88	261.55	15	P_richmondi	13	27.089525	ns	mid	low	high
NA	NA	NA	NA	16	NA	12	20.576067	ns	mid	low	high
1130	11.28	23.48	319.54	17	P_nettingi	16	27.089526	ns	high	high	high
822.5	11.94	26.92	255.33	18	P_hubrichti	16	27.089526	ns	mid	low	high
NA	NA	NA	NA	19	NA	1	3.935235	ns	mid	low	high
NA	NA	NA	NA	20	NA	19	5.409937	ns	mid	low	high
229	13.24	32.31	263	21	P_websteri	20	27.089525	ns	low	low	low
NA	NA	NA	NA	22	NA	20	7.203639	ns	mid	low	high
NA	NA	NA	NA	23	NA	22	22.186658	ns	mid	low	high
799.5	12.52	26.92	252.3	24	P_wehrlei	23	27.089525	ns	mid	low	high
931	11.9	25.3	232.47	25	P_punctatus	23	27.089525	ns	mid	low	high
NA	NA	NA	NA	26	NA	22	11.271084	ns	mid	low	high
1201	11.68	24.42	305.77	27	P_welleri	26	27.089526	ns	high	high	high
NA	NA	NA	NA	28	NA	26	18.45962	ns	mid	low	high
719.5	13.43	30.23	280.16	29	P_ventralis	28	27.089525	ns	mid	low	high
227.5	12.52	31.25	253.53	30	P_dorsalis	28	27.089525	ns	low	low	low
NA	NA	NA	NA	31	NA	19	11.49547	ns	mid	low	high
1023.5	12.13	25.39	296.52	32	P_yonahlossee	31	27.089525	ns	high	high	high
NA	NA	NA	NA	33	NA	31	12.581344	ns	mid	low	high
NA	NA	NA	NA	34	NA	33	15.437081	ns	mid	low	high
675.5	12.36	27.3	266.56	35	P_kentucki	34	27.089526	ns	mid	low	high
410	13.12	30.58	299.8	36	P_petraeus	34	27.089526	ns	mid	low	high
NA	NA	NA	NA	37	NA	33	13.211251	ns	mid	low	high
NA	NA	NA	NA	38	NA	37	17.771463	ns	mid	low	high
958	12.46	25.75	415.39	39	P_metcalfi	38	27.089526	ns	mid	low	high
1342	12.01	24.38	390.04	40	P_jordani	38	27.089526	ns	high	high	high
NA	NA	NA	NA	41	NA	37	14.445871	ns	mid	low	high
NA	NA	NA	NA	42	NA	41	17.570291	ns	mid	low	high
NA	NA	NA	NA	43	NA	42	21.902604	ns	mid	low	high
1270	11.94	24.94	304.31	44	P_montanus	43	27.089526	ns	high	high	high
NA	NA	NA	NA	45	NA	43	24.632403	ns	mid	low	high
815.5	12.98	27.58	322.38	46	P_amplus	45	27.089526	ns	mid	low	high
685	12.7	28.5	318.67	47	P_meridianus	45	27.089526	ns	mid	low	high
NA	NA	NA	NA	48	NA	42	21.620259	ns	mid	low	high
NA	NA	NA	NA	49	NA	48	22.103897	ns	mid	low	high
1153	12.44	25.51	410.13	50	P_shermani	49	27.089526	ns	high	high	high
NA	NA	NA	NA	51	NA	49	22.717515	ns	mid	low	high
828.5	13.17	27.93	374.28	52	P_chattahoochee	51	27.089526	ns	mid	low	high
1072.5	12.6	25.44	395.35	53	P_cheoah	51	27.089526	ns	high	high	high
NA	NA	NA	NA	54	NA	48	22.533368	ns	mid	low	high
NA	NA	NA	NA	55	NA	54	25.8847	ns	mid	low	high
600.5	12.42	30.8	280.29	56	P_chlorobryonis	55	27.089526	ns	mid	low	high
30.5	12.11	32.83	214.36	57	P_variolatus	55	27.089526	ns	low	low	low
NA	NA	NA	NA	58	NA	54	24.936146	ns	mid	low	high
921.5	12.9	26.31	364.02	59	P_teyahalee	58	27.089526	ns	mid	low	high
744.5	12.54	27.8	247.71	60	P_cylindraceus	58	27.089526	ns	mid	low	high
NA	NA	NA	NA	61	NA	41	17.906068	ns	mid	low	high
NA	NA	NA	NA	62	NA	61	22.004686	ns	mid	low	high
890	12.87	27.49	348.19	63	P_aureolus	62	27.089527	ns	mid	low	high
738	12.39	27.66	246.35	64	P_glutinosus	62	27.089527	ns	mid	low	high
NA	NA	NA	NA	65	NA	61	21.068322	ns	mid	low	high
132.5	13.03	32.78	279.59	66	P_mississippi	65	27.089527	ns	low	low	low
NA	NA	NA	NA	67	NA	65	23.900259	ns	mid	low	high
86.5	12.93	32.88	241.93	68	P_grobmani	67	27.089527	ns	low	low	low
NA	NA	NA	NA	69	NA	67	25.085266	ns	mid	low	high
108	13.84	32.9	226	70	P_savannah	69	27.089528	ns	low	low	low
77	13.25	33.34	207.57	71	P_ocmulgee	69	27.089528	ns	low	low	low
