SITE	Age (Ma)	Genus	d18O 5pt
607	0.002	CIB	3.25
659	0.002	CIB	3.23
607	0.004	CIB	3.23
659	0.004	CIB	3.33
849	0.004	CIB	3.39
607	0.0059	CIB	3.32
659	0.006	CIB	3.33
806	0.007	CIB	3.36
659	0.008	CIB	3.25
849	0.008	CIB	3.25
806	0.01	CIB	3.52
659	0.01	CIB	3.6
607	0.0118	CIB	3.73
806	0.012	CIB	3.8
849	0.012	CIB	4.03
659	0.013	CIB	4.1
806	0.015	CIB	4.39
849	0.016	CIB	4.46
607	0.0179	CIB	4.73
806	0.018	CIB	4.87
659	0.018	CIB	4.87
659	0.018	CIB	4.85
849	0.02	CIB	4.91
659	0.02	CIB	4.83
607	0.0214	CIB	4.74
806	0.023	CIB	4.79
849	0.024	CIB	4.76
659	0.024	CIB	4.71
607	0.026	CIB	4.72
659	0.027	CIB	4.71
806	0.028	CIB	4.59
849	0.028	CIB	4.55
659	0.03	CIB	4.51
607	0.0305	CIB	4.47
849	0.032	CIB	4.46
806	0.033	CIB	4.56
659	0.033	CIB	4.52
607	0.0335	CIB	4.55
849	0.036	CIB	4.53
607	0.0361	CIB	4.54
806	0.037	CIB	4.45
607	0.0388	CIB	4.47
659	0.04	CIB	4.41
849	0.04	CIB	4.42
659	0.041	CIB	4.41
806	0.042	CIB	4.45
607	0.0423	CIB	4.43
849	0.044	CIB	4.41
607	0.0457	CIB	4.39
806	0.047	CIB	4.38
659	0.048	CIB	4.38
849	0.048	CIB	4.38
607	0.0486	CIB	4.41
659	0.05	CIB	4.37
607	0.0507	CIB	4.36
806	0.052	CIB	4.34
659	0.052	CIB	4.29
849	0.052	CIB	4.21
607	0.0529	CIB	4.27
659	0.055	CIB	4.28
607	0.0551	CIB	4.3
849	0.056	CIB	4.23
607	0.0569	CIB	4.33
806	0.057	CIB	4.42
849	0.06	CIB	4.36
607	0.0607	CIB	4.29
806	0.061	CIB	4.38
806	0.064	CIB	4.38
659	0.064	CIB	4.33
849	0.064	CIB	4.44
607	0.0645	CIB	4.48
659	0.065	CIB	4.44
849	0.068	CIB	4.32
659	0.069	CIB	4.24
607	0.0705	CIB	4.13
806	0.072	CIB	4.05
849	0.072	CIB	4.05
607	0.0741	CIB	4.09
849	0.076	CIB	4.07
659	0.076	CIB	3.99
607	0.077	CIB	3.89
607	0.0799	CIB	3.79
806	0.08	CIB	3.77
659	0.08	CIB	3.8
849	0.08	CIB	3.78
607	0.0829	CIB	3.86
806	0.083	CIB	3.99
849	0.084	CIB	3.96
607	0.086	CIB	3.92
806	0.087	CIB	3.97
849	0.088	CIB	4
659	0.089	CIB	3.99
607	0.0894	CIB	3.94
659	0.09	CIB	3.95
806	0.091	CIB	3.97
849	0.092	CIB	3.84
607	0.0929	CIB	3.73
806	0.095	CIB	3.8
659	0.095	CIB	3.78
849	0.096	CIB	3.72
607	0.0967	CIB	3.78
659	0.098	CIB	3.82
806	0.099	CIB	3.76
849	0.1	CIB	3.76
607	0.1004	CIB	3.71
659	0.101	CIB	3.67
806	0.104	CIB	3.66
659	0.104	CIB	3.73
849	0.104	CIB	3.71
607	0.1062	CIB	3.78
849	0.108	CIB	3.84
806	0.109	CIB	3.88
659	0.109	CIB	3.82
607	0.112	CIB	3.84
849	0.112	CIB	3.74
659	0.113	CIB	3.66
659	0.114	CIB	3.59
806	0.114	CIB	3.54
607	0.1155	CIB	3.62
849	0.116	CIB	3.69
659	0.118	CIB	3.54
607	0.1188	CIB	3.45
806	0.119	CIB	3.41
659	0.12	CIB	3.2
849	0.12	CIB	3.01
607	0.1217	CIB	3.13
